Date,Open,High,Low,Close,Adj Close,Volume,return,,,
9/1/2016,106.459999,107.339996,106.290001,107.290001,104.323982,3799000,0.0000%,,,
9/2/2016,107.580002,108.25,107.5,107.870003,104.887962,3671200,0.5406%,,,
9/6/2016,107.790001,108.120003,107.400002,107.919998,104.936562,2913300,0.0463%,,,
9/7/2016,107.760002,107.970001,106.779999,107.209999,104.246193,3260500,-0.6579%,,,
9/8/2016,107.099998,107.339996,106.489998,106.879997,103.925308,3459500,-0.3078%,,,
9/9/2016,106.019997,106.190002,104.050003,104.050003,101.173553,6134500,-2.6478%,,,
9/12/2016,104.300003,106.220001,104.300003,106.019997,103.089088,4569400,1.8933%,,,
9/13/2016,105.940002,105.949997,104.290001,104.589996,101.698624,4597700,-1.3488%,,,
9/14/2016,104.82,105.639999,104.599998,105.050003,102.145912,4007800,0.4398%,,,
9/15/2016,104.949997,105.720001,104.699997,105.480003,102.564026,3598600,0.4093%,,,
9/16/2016,105,105.5,104.580002,105.279999,102.36956,4934100,-0.1896%,,,
9/19/2016,105.209999,106.120003,104.919998,105.669998,102.748764,3430100,0.3704%,,,
9/20/2016,106.099998,106.709999,105.959999,106.300003,103.361359,3561700,0.5962%,,,
9/21/2016,106.300003,107.370003,105.879997,107.129997,104.168404,3913900,0.7808%,,,
9/22/2016,107.489998,107.940002,107.309998,107.82,104.83934,3869400,0.6441%,,,
9/23/2016,107.68,107.989998,107.040001,107.339996,104.372604,3235900,-0.4452%,,,
9/26/2016,107.239998,107.379997,106.870003,107.029999,104.071167,4440400,-0.2888%,,,
9/27/2016,107.370003,107.870003,106.730003,107.489998,104.518456,3779300,0.4298%,,,
9/28/2016,107.910004,107.910004,106.860001,107.379997,104.411499,5030500,-0.1023%,,,
9/29/2016,109.5,109.709999,107.709999,107.760002,104.780991,7249100,0.3539%,,,
9/30/2016,108.370003,109.239998,108.370003,108.769997,105.763062,7173300,0.9373%,,,
10/3/2016,108.769997,108.830002,107.470001,108.25,105.257446,4566000,-0.4781%,,AVG,0.0328%
10/4/2016,108.309998,108.370003,106.580002,107.099998,104.139236,5830100,-1.0624%,,median,0.0269%
10/5/2016,107.239998,107.489998,105.690002,106.010002,103.079376,6297000,-1.0177%,,,0.4398%
10/6/2016,105.730003,106.529999,105.459999,106.400002,103.458588,4886000,0.3679%,,,
10/7/2016,106.760002,106.919998,105.650002,105.989998,103.059921,4398400,-0.3853%,,,
