Date,Open,High,Low,Close,Adj Close,Volume
9/1/2016,5.13,5.15,5.105,5.135,5.102733,736100
9/2/2016,5.155,5.205,5.155,5.195,5.162355,577200
9/6/2016,5.205,5.21,5.14,5.17,5.137512,452500
9/7/2016,5.175,5.18,5.095,5.11,5.077889,435200
9/8/2016,5.08,5.1,5.015,5.02,4.988455,788100
9/9/2016,5.005,5.015,4.905,4.91,4.879146,2236800
9/12/2016,4.965,4.975,4.92,4.95,4.918895,794100
9/13/2016,4.9,4.93,4.855,4.865,4.834429,943000
9/14/2016,4.88,4.92,4.86,4.875,4.844366,874400
9/15/2016,4.875,4.935,4.86,4.905,4.874178,822900
9/16/2016,4.89,4.91,4.845,4.845,4.814554,863100
9/19/2016,4.875,4.955,4.87,4.935,4.903989,832300
9/20/2016,4.95,4.985,4.91,4.91,4.879146,1060600
9/21/2016,4.94,4.94,4.875,4.905,4.874178,1174800
9/22/2016,4.935,4.95,4.9,4.92,4.889083,1058000
9/23/2016,4.9,4.965,4.875,4.885,4.854303,951800
9/26/2016,4.89,4.915,4.855,4.875,4.844366,1002600
9/27/2016,4.915,4.955,4.895,4.915,4.884115,938700
9/28/2016,4.92,4.935,4.875,4.89,4.859272,629900
9/29/2016,4.885,4.955,4.855,4.89,4.859272,1499400
9/30/2016,4.93,4.94,4.85,4.855,4.824492,1041200
10/3/2016,4.895,4.895,4.84,4.865,4.834429,1035900
10/4/2016,4.865,4.905,4.83,4.845,4.814554,704400
10/5/2016,4.835,4.875,4.835,4.86,4.829461,613800
10/6/2016,4.86,4.89,4.845,4.875,4.844366,543000
10/7/2016,4.875,4.88,4.85,4.87,4.839397,525900
10/10/2016,4.895,4.92,4.885,4.91,4.879146,267200
10/11/2016,4.91,4.93,4.845,4.85,4.819523,630500
10/12/2016,4.86,4.865,4.825,4.845,4.814554,690700
10/13/2016,4.815,4.965,4.815,4.955,4.923863,1135600
10/14/2016,4.905,4.905,4.86,4.88,4.849335,732200
10/17/2016,4.86,4.91,4.86,4.9,4.869209,1046100
10/18/2016,5.02,5.045,4.99,4.995,4.963612,909800
10/19/2016,5.085,5.095,5.025,5.03,4.998392,2062200
10/20/2016,5.075,5.075,4.92,4.96,4.928832,936600
10/21/2016,4.945,4.945,4.88,4.89,4.859272,795400
10/24/2016,4.82,4.87,4.81,4.865,4.834429,1033900
10/25/2016,4.865,4.865,4.825,4.845,4.814554,869300
10/26/2016,4.775,4.82,4.755,4.79,4.7599,798200
10/27/2016,4.725,4.75,4.71,4.725,4.695309,1227400
10/28/2016,4.74,4.82,4.73,4.815,4.784743,1182300
10/31/2016,4.83,4.84,4.815,4.835,4.804617,763600
11/1/2016,4.805,4.83,4.78,4.825,4.79468,1185300
11/2/2016,4.795,4.82,4.75,4.78,4.749963,355400
11/3/2016,4.715,4.74,4.695,4.705,4.675434,566500
11/4/2016,4.705,4.785,4.695,4.735,4.705246,645300
11/7/2016,4.76,4.835,4.745,4.835,4.804617,1516200
11/8/2016,4.765,4.8,4.745,4.77,4.740026,814400
11/9/2016,4.695,4.73,4.625,4.72,4.69034,831700
11/10/2016,4.7,4.755,4.655,4.695,4.665497,908800
11/11/2016,4.67,4.695,4.63,4.64,4.610843,657100
11/14/2016,4.65,4.67,4.545,4.605,4.576063,652900
11/15/2016,4.64,4.68,4.575,4.64,4.610843,1289100
11/16/2016,4.605,4.725,4.605,4.68,4.650591,741500
11/17/2016,4.67,4.67,4.615,4.64,4.610843,536700
11/18/2016,4.635,4.65,4.615,4.62,4.590968,359800
11/21/2016,4.635,4.69,4.6,4.635,4.605875,413700
11/22/2016,4.66,4.695,4.64,4.68,4.650591,575800
11/23/2016,4.66,4.725,4.645,4.7,4.670465,640500
11/25/2016,4.74,4.855,4.74,4.85,4.819523,360500
11/28/2016,4.825,4.83,4.765,4.8,4.769837,605000
11/29/2016,4.8,4.8,4.76,4.79,4.7599,423600
11/30/2016,4.785,4.86,4.785,4.795,4.764869,1942200
12/1/2016,4.805,4.815,4.72,4.735,4.705246,810000
12/2/2016,4.72,4.72,4.635,4.665,4.635685,605700
12/5/2016,4.69,4.695,4.615,4.635,4.605875,575200
